[run number],bin-placement,laziness-factor,litter-sensitivity-factor,group-litter-factor,arrival-rate,initial-litter,[step],total-litter-events,bin-utilization-rate,total-agents-spawned,ticks
335,1,0.0,0.5,0.0,5.0,0,7500,53,0.1958333333,983,7500
336,1,0.0,0.5,0.0,5.0,0,7500,64,0.1625,972,7500
337,1,0.0,0.5,0.0,5.0,0,7500,61,0.1916666667,1016,7500
338,1,0.0,0.5,0.0,5.0,0,7500,54,0.1958333333,957,7500
339,1,0.0,0.5,0.0,5.0,0,7500,63,0.2,961,7500
340,1,0.0,0.5,0.0,5.0,0,7500,66,0.15,1009,7500
341,1,0.0,0.5,0.0,5.0,0,7500,57,0.1958333333,942,7500
342,1,0.0,0.5,0.0,5.0,0,7500,54,0.1583333333,965,7500
343,1,0.0,0.5,0.0,5.0,0,7500,51,0.1583333333,961,7500
344,1,0.0,0.5,0.0,5.0,0,7500,61,0.1958333333,1005,7500
345,1,0.0,0.5,0.0,5.0,0,7500,51,0.1791666667,951,7500
346,1,0.0,0.5,0.0,5.0,0,7500,56,0.2375,1013,7500
347,1,0.0,0.5,0.0,5.0,0,7500,44,0.225,988,7500
348,1,0.0,0.5,0.0,5.0,0,7500,52,0.1541666667,973,7500
349,1,0.0,0.5,0.0,5.0,0,7500,68,0.1458333333,1012,7500
350,1,0.0,0.5,0.0,5.0,0,7500,68,0.1208333333,975,7500
351,1,0.0,0.5,0.0,5.0,0,7500,51,0.1958333333,1040,7500
352,1,0.0,0.5,0.0,5.0,0,7500,56,0.1541666667,951,7500
353,1,0.0,0.5,0.0,5.0,0,7500,57,0.1541666667,921,7500
354,1,0.0,0.5,0.0,5.0,0,7500,57,0.1625,965,7500
355,1,0.0,0.5,0.0,5.0,0,7500,55,0.1333333333,928,7500
356,1,0.0,0.5,0.0,5.0,0,7500,59,0.1625,969,7500
357,1,0.0,0.5,0.0,5.0,0,7500,61,0.1958333333,1000,7500
358,1,0.0,0.5,0.0,5.0,0,7500,56,0.1666666667,1000,7500
359,1,0.0,0.5,0.0,5.0,0,7500,44,0.1833333333,990,7500
360,1,0.0,0.5,0.0,5.0,0,7500,67,0.15,992,7500
391,1,0.0,0.5,0.5,2.5,0,7500,19,0.1041666667,453,7500
392,1,0.0,0.5,0.5,2.5,0,7500,23,0.04583333333,464,7500
393,1,0.0,0.5,0.5,2.5,0,7500,32,0.1041666667,479,7500
394,1,0.0,0.5,0.5,2.5,0,7500,27,0.08333333333,469,7500
395,1,0.0,0.5,0.5,2.5,0,7500,24,0.1125,462,7500
396,1,0.0,0.5,0.5,2.5,0,7500,31,0.0625,488,7500
397,1,0.0,0.5,0.5,2.5,0,7500,24,0.09583333333,483,7500
398,1,0.0,0.5,0.5,2.5,0,7500,40,0.05416666667,507,7500
399,1,0.0,0.5,0.5,2.5,0,7500,30,0.06666666667,489,7500
400,1,0.0,0.5,0.5,2.5,0,7500,25,0.0875,493,7500
401,1,0.0,0.5,0.5,2.5,0,7500,29,0.0875,483,7500
402,1,0.0,0.5,0.5,2.5,0,7500,27,0.09583333333,459,7500
403,1,0.0,0.5,0.5,2.5,0,7500,36,0.075,493,7500
404,1,0.0,0.5,0.5,2.5,0,7500,27,0.09583333333,503,7500
405,1,0.0,0.5,0.5,2.5,0,7500,28,0.07916666667,499,7500
406,1,0.0,0.5,0.5,2.5,0,7500,22,0.0875,474,7500
407,1,0.0,0.5,0.5,2.5,0,7500,16,0.07083333333,450,7500
408,1,0.0,0.5,0.5,2.5,0,7500,30,0.06666666667,471,7500
409,1,0.0,0.5,0.5,2.5,0,7500,24,0.07916666667,458,7500
410,1,0.0,0.5,0.5,2.5,0,7500,29,0.075,453,7500
411,1,0.0,0.5,0.5,2.5,0,7500,34,0.05833333333,472,7500
412,1,0.0,0.5,0.5,2.5,0,7500,31,0.0875,466,7500
413,1,0.0,0.5,0.5,2.5,0,7500,31,0.125,480,7500
414,1,0.0,0.5,0.5,2.5,0,7500,27,0.0625,491,7500
415,1,0.0,0.5,0.5,2.5,0,7500,23,0.08333333333,505,7500
416,1,0.0,0.5,0.5,2.5,0,7500,37,0.07083333333,499,7500
417,1,0.0,0.5,0.5,2.5,0,7500,37,0.09583333333,502,7500
418,1,0.0,0.5,0.5,2.5,0,7500,38,0.09166666667,494,7500
419,1,0.0,0.5,0.5,2.5,0,7500,34,0.075,454,7500
420,1,0.0,0.5,0.5,2.5,0,7500,29,0.075,477,7500
421,1,0.0,0.5,0.5,5.0,0,7500,50,0.1833333333,987,7500
422,1,0.0,0.5,0.5,5.0,0,7500,46,0.2041666667,933,7500
423,1,0.0,0.5,0.5,5.0,0,7500,61,0.1541666667,1008,7500
424,1,0.0,0.5,0.5,5.0,0,7500,59,0.1666666667,987,7500
425,1,0.0,0.5,0.5,5.0,0,7500,47,0.1375,968,7500
426,1,0.0,0.5,0.5,5.0,0,7500,54,0.1583333333,974,7500
427,1,0.0,0.5,0.5,5.0,0,7500,53,0.1625,963,7500
428,1,0.0,0.5,0.5,5.0,0,7500,67,0.175,993,7500
429,1,0.0,0.5,0.5,5.0,0,7500,46,0.2333333333,983,7500
430,1,0.0,0.5,0.5,5.0,0,7500,59,0.225,996,7500
431,1,0.0,0.5,0.5,5.0,0,7500,52,0.1291666667,988,7500
432,1,0.0,0.5,0.5,5.0,0,7500,70,0.1833333333,1014,7500
433,1,0.0,0.5,0.5,5.0,0,7500,53,0.1958333333,972,7500
434,1,0.0,0.5,0.5,5.0,0,7500,64,0.2125,1012,7500
435,1,0.0,0.5,0.5,5.0,0,7500,46,0.2,961,7500
436,1,0.0,0.5,0.5,5.0,0,7500,58,0.2125,999,7500
437,1,0.0,0.5,0.5,5.0,0,7500,61,0.15,916,7500
438,1,0.0,0.5,0.5,5.0,0,7500,54,0.1458333333,1000,7500
439,1,0.0,0.5,0.5,5.0,0,7500,59,0.175,1019,7500
440,1,0.0,0.5,0.5,5.0,0,7500,49,0.1916666667,1009,7500
441,1,0.0,0.5,0.5,5.0,0,7500,66,0.1958333333,1041,7500
442,1,0.0,0.5,0.5,5.0,0,7500,50,0.1625,1043,7500
443,1,0.0,0.5,0.5,5.0,0,7500,81,0.1708333333,1038,7500
444,1,0.0,0.5,0.5,5.0,0,7500,63,0.1833333333,975,7500
445,1,0.0,0.5,0.5,5.0,0,7500,56,0.1708333333,949,7500
446,1,0.0,0.5,0.5,5.0,0,7500,63,0.1666666667,970,7500
447,1,0.0,0.5,0.5,5.0,0,7500,79,0.2041666667,1029,7500
448,1,0.0,0.5,0.5,5.0,0,7500,55,0.1791666667,982,7500
449,1,0.0,0.5,0.5,5.0,0,7500,55,0.2166666667,974,7500
450,1,0.0,0.5,0.5,5.0,0,7500,74,0.1583333333,974,7500
481,1,0.0,0.5,1.0,2.5,0,7500,25,0.1041666667,461,7500
482,1,0.0,0.5,1.0,2.5,0,7500,29,0.1,450,7500
483,1,0.0,0.5,1.0,2.5,0,7500,31,0.075,450,7500
484,1,0.0,0.5,1.0,2.5,0,7500,24,0.1041666667,496,7500
485,1,0.0,0.5,1.0,2.5,0,7500,30,0.09583333333,514,7500
486,1,0.0,0.5,1.0,2.5,0,7500,26,0.1041666667,500,7500
487,1,0.0,0.5,1.0,2.5,0,7500,26,0.1083333333,485,7500
488,1,0.0,0.5,1.0,2.5,0,7500,22,0.1041666667,489,7500
489,1,0.0,0.5,1.0,2.5,0,7500,23,0.0375,470,7500
490,1,0.0,0.5,1.0,2.5,0,7500,23,0.1125,499,7500
491,1,0.0,0.5,1.0,2.5,0,7500,40,0.1083333333,477,7500
492,1,0.0,0.5,1.0,2.5,0,7500,24,0.09166666667,469,7500
493,1,0.0,0.5,1.0,2.5,0,7500,31,0.1041666667,497,7500
494,1,0.0,0.5,1.0,2.5,0,7500,28,0.0625,459,7500
495,1,0.0,0.5,1.0,2.5,0,7500,29,0.1,494,7500
496,1,0.0,0.5,1.0,2.5,0,7500,25,0.06666666667,450,7500
497,1,0.0,0.5,1.0,2.5,0,7500,32,0.07083333333,440,7500
498,1,0.0,0.5,1.0,2.5,0,7500,20,0.08333333333,440,7500
499,1,0.0,0.5,1.0,2.5,0,7500,26,0.07083333333,491,7500
