"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"fuente-osmenia.nlogox"
"experiment"
"05/29/2026 00:33:24:518 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","(mean) total-litter-events","(std) total-litter-events","(mean) bin-utilization-rate","(std) bin-utilization-rate","(mean) total-agents-spawned","(std) total-agents-spawned","(mean) ticks","(std) ticks"
"1","0","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0.5","0","0","500","0","0","0","0","0","0","500","0"
"1","0","0.5","0.5","0","0","1000","0","0","0","0","0","0","1000","0"
"1","0","0.5","0.5","0","0","1500","0","0","0","0","0","0","1500","0"
"1","0","0.5","0.5","0","0","2000","0","0","0","0","0","0","2000","0"
"1","0","0.5","0.5","0","0","2500","0","0","0","0","0","0","2500","0"
"1","0","0.5","0.5","0","0","3000","0","0","0","0","0","0","3000","0"
"1","0","0.5","0.5","0","0","3500","0","0","0","0","0","0","3500","0"
"1","0","0.5","0.5","0","0","4000","0","0","0","0","0","0","4000","0"
"1","0","0.5","0.5","0","0","4500","0","0","0","0","0","0","4500","0"
"1","0","0.5","0.5","0","0","5000","0","0","0","0","0","0","5000","0"
"1","0","0.5","0.5","0","0","5500","0","0","0","0","0","0","5500","0"
"1","0","0.5","0.5","0","0","6000","0","0","0","0","0","0","6000","0"
"1","0","0.5","0.5","0","0","6500","0","0","0","0","0","0","6500","0"
"1","0","0.5","0.5","0","0","7000","0","0","0","0","0","0","7000","0"
"1","0","0.5","0.5","0","0","7500","0","0","0","0","0","0","7500","0"
"1","0","0.5","0.5","2.5","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0.5","2.5","0","500","1.2666666666666666","1.412641340027806","0.0037499999999999994","0.0036244412085277462","31.633333333333333","4.722169934351038","500","0"
