"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"9","3","0","0","0","0","0","7500","0","0","0","7500"
"13","3","0","0","0","0","0","500","0","0","0","500"
"16","3","0","0","0","0","0","0","0","0","0","0"
"11","3","0","0","0","0","0","7000","0","0","0","7000"
"3","3","0","0","0","0","0","6500","0","0","0","6500"
"2","3","0","0","0","0","0","6500","0","0","0","6500"
"7","3","0","0","0","0","0","6500","0","0","0","6500"
"10","3","0","0","0","0","0","7500","0","0","0","7500"
"12","3","0","0","0","0","0","6500","0","0","0","6500"
"14","3","0","0","0","0","0","500","0","0","0","500"
"15","3","0","0","0","0","0","500","0","0","0","500"
"17","3","0","0","0","0","0","0","0","0","0","0"
"6","3","0","0","0","0","0","7000","0","0","0","7000"
"13","3","0","0","0","0","0","1000","0","0","0","1000"
"16","3","0","0","0","0","0","500","0","0","0","500"
"1","3","0","0","0","0","0","5500","0","0","0","5500"
"11","3","0","0","0","0","0","7500","0","0","0","7500"
"3","3","0","0","0","0","0","7000","0","0","0","7000"
"18","3","0","0","0","0","0","0","0","0","0","0"
"2","3","0","0","0","0","0","7000","0","0","0","7000"
"7","3","0","0","0","0","0","7000","0","0","0","7000"
"14","3","0","0","0","0","0","1000","0","0","0","1000"
"12","3","0","0","0","0","0","7000","0","0","0","7000"
"17","3","0","0","0","0","0","500","0","0","0","500"
"15","3","0","0","0","0","0","1000","0","0","0","1000"
"6","3","0","0","0","0","0","7500","0","0","0","7500"
"13","3","0","0","0","0","0","1500","0","0","0","1500"
"19","3","0","0","0","0","0","0","0","0","0","0"
"16","3","0","0","0","0","0","1000","0","0","0","1000"
"3","3","0","0","0","0","0","7500","0","0","0","7500"
"18","3","0","0","0","0","0","500","0","0","0","500"
"1","3","0","0","0","0","0","6000","0","0","0","6000"
"14","3","0","0","0","0","0","1500","0","0","0","1500"
"2","3","0","0","0","0","0","7500","0","0","0","7500"
"20","3","0","0","0","0","0","0","0","0","0","0"
"7","3","0","0","0","0","0","7500","0","0","0","7500"
"21","3","0","0","0","0","0","0","0","0","0","0"
"22","3","0","0","0","0","0","0","0","0","0","0"
"15","3","0","0","0","0","0","1500","0","0","0","1500"
"17","3","0","0","0","0","0","1000","0","0","0","1000"
"13","3","0","0","0","0","0","2000","0","0","0","2000"
"12","3","0","0","0","0","0","7500","0","0","0","7500"
"19","3","0","0","0","0","0","500","0","0","0","500"
"23","3","0","0","0","0","0","0","0","0","0","0"
"16","3","0","0","0","0","0","1500","0","0","0","1500"
"14","3","0","0","0","0","0","2000","0","0","0","2000"
"20","3","0","0","0","0","0","500","0","0","0","500"
"18","3","0","0","0","0","0","1000","0","0","0","1000"
